CANVAS[7412] bounds(2298,3337/3064,3981) rotate(14.1)
CANVAS[7412] bounds(2392,3886/2964,4342) rotate(7.3)
CANVAS[7412] bounds(2397,3677/2932,4108) rotate(8.5)
CANVAS[7412] bounds(2401,3684/2941,4115) rotate(7.4)
CANVAS[7412] bounds(2402,3679/3053,4190) rotate(5.8)
CANVAS[7412] bounds(2433,3614/3464,4487) rotate(15.6)
CANVAS[7412] bounds(2470,3710/3157,4299) rotate(17.5)
CANVAS[7412] bounds(2521,3618/3127,4157) rotate(25.1)
CANVAS[7412] bounds(2540,3503/3553,4364) rotate(16.4)
CANVAS[7412] bounds(2547,3450/3229,4034) rotate(17.1)
CANVAS[7412] bounds(2618,3716/3290,4282) rotate(14.8)
CANVAS[7412] bounds(2632,3599/3393,4241) rotate(15.2)
CANVAS[7412] bounds(2690,3751/3254,4219) rotate(12.9)
CANVAS[7412] bounds(2711,3891/3287,4357) rotate(9.0)
CANVAS[7412] bounds(2772,3216/3722,4037) rotate(18.9)
CANVAS[7412] bounds(2798,3282/3642,4000) rotate(16.3)
CANVAS[7412] bounds(2857,3652/3454,4117) rotate(-4.7)
CANVAS[7412] bounds(2889,3586/3500,4181) rotate(39.7)
CANVAS[7837] bounds(1471,3805/2279,4259) rotate(-0.2)
CANVAS[7837] bounds(1484,3716/2360,4217) rotate(-3.0)
CANVAS[7837] bounds(1485,3129/2401,3714) rotate(7.0)
CANVAS[7837] bounds(1514,3293/2401,3887) rotate(-10.0)
CANVAS[7837] bounds(1530,3190/2347,3674) rotate(3.2)
CANVAS[7837] bounds(1539,3214/2335,3658) rotate(0.2)
CANVAS[7837] bounds(1551,3452/2532,4099) rotate(9.1)
CANVAS[7837] bounds(1576,3431/2409,3953) rotate(5.9)
CANVAS[7837] bounds(1613,3305/2681,3923) rotate(-2.0)
CANVAS[7837] bounds(1644,3130/2370,3586) rotate(6.6)
CANVAS[7837] bounds(1645,3130/2370,3583) rotate(6.3)
CANVAS[7837] bounds(1688,3426/2504,3958) rotate(8.5)
CANVAS[7837] bounds(1771,3464/2574,3970) rotate(6.5)
CANVAS[7837] bounds(1800,3488/2588,3981) rotate(6.0)
CANVAS[7837] bounds(1815,3694/2564,4158) rotate(3.8)
CANVAS[7837] bounds(1823,3783/2530,4230) rotate(6.8)
CANVAS[7837] bounds(1847,3697/3013,4365) rotate(-0.2)
CANVAS[7837] bounds(1848,3789/2842,4353) rotate(0.9)
CANVAS[7837] bounds(1936,3733/2754,4238) rotate(5.2)
CANVAS[7837] bounds(1938,3469/2779,4022) rotate(9.1)
CANVAS[7837] bounds(1948,3594/2747,4048) rotate(1.0)
CANVAS[7837] bounds(1988,3505/2744,3974) rotate(4.8)
CANVAS[7837] bounds(2008,3719/2830,4186) rotate(1.5)
CANVAS[7837] bounds(2022,3276/2857,3922) rotate(21.0)
CANVAS[7837] bounds(2034,3752/2870,4258) rotate(4.0)
CANVAS[7837] bounds(2070,3441/2845,3884) rotate(1.3)
CANVAS[7837] bounds(2128,3580/3202,4282) rotate(8.9)
CANVAS[7837] bounds(2151,3562/3247,4188) rotate(1.4)
CANVAS[7837] bounds(2346,3570/3208,4120) rotate(7.2)
CANVAS[7837] bounds(2416,3529/3144,4140) rotate(28.1)
CANVAS[7837] bounds(2509,3493/3267,4091) rotate(22.9)
CANVAS[7837] bounds(2552,3725/3293,4168) rotate(4.0)
CANVAS[7837] bounds(2612,3738/3340,4156) rotate(2.0)
CANVAS[7837] bounds(2769,3474/3459,3883) rotate(3.3)
CANVAS[7855] bounds(-277,3008/2690,4872) rotate(353.4)
CANVAS[7855] bounds(1001,3451/1794,4019) rotate(348.6)
CANVAS[7855] bounds(1004,3458/1771,3947) rotate(367.6)
CANVAS[7855] bounds(1005,3462/2091,4142) rotate(353.7)
CANVAS[7855] bounds(1007,3735/1753,4274) rotate(344.3)
CANVAS[7855] bounds(1038,3726/1822,4310) rotate(342.0)
CANVAS[7855] bounds(1040,3727/1791,4154) rotate(361.5)
CANVAS[7855] bounds(1044,3732/1785,4149) rotate(361.1)
CANVAS[7855] bounds(1049,3542/1795,4201) rotate(327.2)
CANVAS[7855] bounds(1078,3570/1918,4190) rotate(342.9)
CANVAS[7855] bounds(1088,3605/1838,4182) rotate(339.4)
CANVAS[7855] bounds(1092,3610/1813,4249) rotate(326.8)
CANVAS[7855] bounds(1092,3615/1836,4172) rotate(341.7)
CANVAS[7855] bounds(1149,3591/1976,4180) rotate(344.7)
CANVAS[7855] bounds(1151,3653/1797,4195) rotate(332.1)
CANVAS[7855] bounds(1169,3662/1785,4178) rotate(332.1)
CANVAS[7855] bounds(1286,3500/2060,3988) rotate(4.5)
CANVAS[7855] bounds(1291,3591/1976,4148) rotate(333.5)
CANVAS[7855] bounds(1364,3461/2140,3937) rotate(4.9)
CANVAS[7855] bounds(1456,3812/2174,4245) rotate(364.1)
CANVAS[7855] bounds(1592,3616/2225,4101) rotate(339.0)
CANVAS[7855] bounds(1682,3690/2394,4258) rotate(383.5)
CANVAS[7855] bounds(1687,3702/2400,4271) rotate(383.5)
CANVAS[7855] bounds(706,3653/1452,4279) rotate(332.0)
CANVAS[7855] bounds(707,3653/1453,4280) rotate(332.0)
CANVAS[7855] bounds(769,3808/1526,4255) rotate(-2.8)
CANVAS[7855] bounds(788,3597/1535,4251) rotate(328.2)
CANVAS[7855] bounds(801,3371/1663,4140) rotate(326.2)
CANVAS[7855] bounds(890,3408/2161,4228) rotate(351.8)
CANVAS[7855] bounds(911,3607/1785,4238) rotate(-15.3)
CANVAS[7855] bounds(920,3624/1761,4222) rotate(-14.2)
CANVAS[7855] bounds(942,3652/1802,4326) rotate(337.8)
CANVAS[7855] bounds(950,3668/1762,4256) rotate(344.0)
CANVAS[7855] bounds(969,3485/1775,4209) rotate(325.6)
CANVAS[7855] bounds(985,3716/1745,4273) rotate(340.6)
CANVAS[7957] bounds(1791,2611/2839,3431) rotate(545.8)
CANVAS[7957] bounds(1900,2173/2742,2850) rotate(548.7)
CANVAS[7957] bounds(1900,2480/2809,3237) rotate(526.6)
CANVAS[7957] bounds(1915,2612/2734,3267) rotate(531.8)
CANVAS[7957] bounds(1938,2727/2786,3374) rotate(542.7)
CANVAS[7957] bounds(1940,2742/2562,3240) rotate(548.2)
CANVAS[7957] bounds(1952,2752/2575,3247) rotate(547.2)
CANVAS[7957] bounds(1957,2338/2854,3059) rotate(531.2)
CANVAS[7957] bounds(1957,2338/2855,3060) rotate(531.2)
CANVAS[7957] bounds(1959,2529/2734,3171) rotate(552.7)
CANVAS[7957] bounds(1959,2556/2792,3239) rotate(527.3)
CANVAS[7957] bounds(1963,2431/2783,3085) rotate(532.2)
CANVAS[7957] bounds(1975,2261/2816,2947) rotate(550.5)
CANVAS[7957] bounds(1978,2321/2775,2931) rotate(543.3)
CANVAS[7957] bounds(2099,2832/2774,3360) rotate(545.7)
CANVAS[7957] bounds(2135,2649/2743,3107) rotate(541.6)
CANVAS[7957] bounds(2143,2854/2867,3413) rotate(544.0)
CANVAS[7957] bounds(2162,2644/2893,3224) rotate(547.2)
CANVAS[7957] bounds(2167,2889/2827,3383) rotate(541.0)
CANVAS[7957] bounds(2180,2661/2975,3258) rotate(541.4)
CANVAS[7957] bounds(2180,2661/2975,3258) rotate(542.5)
CANVAS[7957] bounds(2199,2747/2876,3257) rotate(541.6)
CANVAS[7957] bounds(2257,2442/2915,2933) rotate(539.5)
CANVAS[7957] bounds(2357,2439/2954,2883) rotate(540.2)
CANVAS[7957] bounds(2373,2314/2985,2793) rotate(534.5)
